 Persistent EPS in the Last Four Seasons, Net Income to Total Assets, Per Share Net profit before tax (Yuan ¥), Net profit before tax/Paid-in capital, ROA(C) before interest and depreciation before interest, ROA(B) before interest and depreciation after tax, ROA(A) before interest and % after tax, Debt ratio %,Class
25,83,20,20,52,57,61,13,0
22,80,18,18,50,55,56,15,0
29,86,23,23,58,65,67,6,0
22,82,18,18,53,58,58,6,0
22,81,17,17,53,59,56,4,0
24,85,19,19,56,63,64,4,0
25,85,20,20,58,64,65,5,0
24,83,18,18,52,58,57,11,0
27,85,22,22,61,66,67,13,0
23,82,18,18,58,63,59,9,0
21,80,17,17,54,60,55,7,0
22,81,17,17,50,55,56,1,0
18,74,14,14,42,46,44,9,0
17,70,14,14,36,38,39,1,0
19,71,15,15,31,35,36,2,0
17,61,13,14,21,22,19,1,0
21,81,17,17,49,55,56,0,0
21,79,16,16,48,54,54,14,0
22,81,17,17,51,56,55,12,0
24,83,19,19,53,60,61,7,0
22,81,17,17,51,57,56,6,0
22,81,17,17,50,56,57,8,0
21,80,17,17,47,53,54,4,0
20,76,16,16,43,48,48,2,0
28,85,24,22,62,68,70,2,0
30,84,26,25,61,63,65,18,0
21,79,16,16,49,56,54,14,0
22,80,17,17,51,57,56,10,0
22,80,18,17,48,53,55,17,0
22,81,17,17,50,57,58,12,0
26,86,22,21,65,70,72,5,0
24,86,19,19,58,67,68,10,0
29,82,35,19,56,61,62,17,0
21,80,17,17,49,54,54,12,0
20,78,16,16,50,55,52,15,0
18,69,14,14,33,37,36,13,0
19,71,15,15,34,38,39,15,0
19,76,15,15,39,44,44,15,0
21,79,17,17,51,56,54,11,0
23,83,17,17,51,59,61,7,0
20,75,15,16,39,43,44,1,0
19,76,15,15,41,46,48,0,0
22,81,18,17,50,56,56,9,0
20,77,16,16,46,51,51,11,0
19,77,15,15,46,51,49,16,0
17,74,14,14,45,50,46,20,0
19,77,15,15,44,49,49,15,0
22,81,17,17,49,54,56,5,0
19,77,15,15,48,52,50,15,0
19,74,13,15,45,50,45,13,0
19,70,15,15,37,41,39,6,0
25,88,21,20,61,67,69,3,0
21,80,17,17,50,55,54,6,0
22,82,18,18,51,56,57,3,0
27,85,22,21,60,65,66,4,0
26,87,21,21,63,69,69,8,0
24,84,18,18,54,62,62,7,0
20,77,16,16,47,52,50,5,0
20,78,16,16,47,53,51,11,0
24,84,20,20,56,59,61,3,0
23,83,18,18,52,58,59,7,0
25,86,21,20,60,65,67,6,0
24,85,20,20,58,62,64,7,0
25,85,20,20,60,66,66,7,0
27,87,23,22,66,70,69,6,0
22,80,17,17,59,65,56,10,0
22,82,18,18,52,58,60,7,0
23,82,19,19,55,61,58,12,0
27,86,21,21,61,67,66,10,0
22,81,17,17,52,57,56,6,0
23,84,18,18,53,60,60,4,0
27,86,22,21,59,66,67,7,0
21,79,17,17,52,57,54,14,0
22,82,17,17,50,57,58,11,0
24,84,20,19,57,63,64,7,0
21,78,16,16,45,51,51,3,0
19,66,12,13,34,38,27,5,0
21,80,17,16,51,57,54,4,0
21,80,17,17,52,57,55,3,0
22,80,17,17,48,54,55,5,0
23,84,19,19,56,60,61,6,0
18,73,15,14,40,44,42,9,0
25,81,21,20,51,56,58,23,0
19,76,15,15,49,55,48,15,0
21,79,17,16,50,56,54,20,0
20,80,17,17,51,57,54,16,0
22,80,17,17,53,57,56,11,0
20,76,16,16,44,49,48,12,0
19,76,15,15,41,47,47,2,0
20,76,15,15,47,51,48,11,0
21,81,17,17,47,53,56,6,0
22,81,18,18,50,55,56,13,0
23,84,18,18,56,62,63,10,0
21,79,16,16,46,52,53,2,0
17,60,13,13,27,30,29,12,1
19,76,15,15,45,49,48,14,0
21,79,17,16,46,52,53,5,0
21,80,17,17,53,56,54,5,0
20,78,16,16,46,52,50,15,0
24,83,19,19,56,62,59,11,0
25,85,19,19,62,67,63,3,0
20,74,15,15,44,49,45,10,0
23,82,18,18,53,59,58,10,0
20,79,16,16,50,54,52,9,0
23,81,18,18,51,56,56,15,0
22,81,17,17,49,54,55,4,0
21,79,16,16,49,55,52,7,0
23,82,18,18,50,56,58,2,0
20,79,17,16,44,49,53,12,0
23,83,18,18,53,59,59,6,0
22,80,17,17,54,57,54,12,0
20,75,15,16,41,46,47,7,0
21,81,17,17,49,54,55,7,0
21,80,17,17,48,54,54,2,0
25,85,20,20,60,66,64,5,0
24,83,19,19,57,61,60,13,0
22,81,17,17,53,60,56,13,0
25,85,21,21,57,61,63,3,0
41,88,33,32,62,69,71,4,0
22,82,17,17,51,55,57,4,0
25,85,20,20,55,60,63,1,0
21,79,17,16,48,53,53,16,0
22,80,17,17,48,52,54,6,0
23,83,18,18,54,60,60,7,0
21,80,17,17,50,56,54,8,0
32,88,26,26,63,70,71,11,0
26,86,20,20,59,66,66,7,0
23,83,19,18,54,60,60,10,0
20,68,15,15,36,40,40,2,0
23,81,18,18,55,60,57,15,0
22,81,17,17,54,60,55,3,0
21,80,17,17,48,53,53,3,0
20,76,16,16,44,49,48,4,0
22,82,17,17,53,58,58,3,0
22,81,17,17,50,55,56,1,0
18,77,15,16,47,50,49,19,0
20,76,15,15,45,49,47,18,0
23,82,18,18,54,60,57,6,0
27,85,22,21,61,68,66,7,0
28,86,23,23,59,65,67,7,0
21,79,17,16,48,53,53,3,0
24,83,19,19,54,59,59,4,0
31,85,27,27,57,61,64,13,0
23,83,19,18,57,63,60,10,0
22,81,17,17,54,60,56,11,0
23,82,19,19,51,55,57,11,0
25,85,20,19,57,64,64,9,0
23,83,17,17,52,60,59,5,0
23,82,18,18,51,57,58,6,0
22,80,17,17,49,55,55,18,0
21,76,16,15,47,52,49,11,0
23,82,18,18,54,60,58,10,0
21,80,17,17,50,56,54,12,0
26,85,20,20,57,64,65,10,0
18,73,14,14,38,43,42,13,0
20,78,16,16,46,51,52,18,0
29,91,23,23,70,78,79,4,0
22,81,17,17,52,59,57,8,0
23,81,18,18,54,59,57,13,0
23,84,19,19,56,61,61,3,0
23,84,18,18,57,62,61,3,0
26,85,22,22,62,63,64,11,0
20,78,16,16,44,49,48,13,0
25,86,20,20,60,67,68,9,0
23,84,18,18,55,61,62,0,0
29,90,23,23,69,76,78,7,0
23,83,18,18,55,61,59,12,0
28,87,22,21,62,69,70,9,0
30,88,24,24,64,71,72,10,0
24,84,19,19,55,60,62,10,0
21,79,17,16,47,53,53,4,0
22,80,18,17,50,56,56,20,0
25,86,20,20,65,69,66,3,0
21,77,16,16,53,56,48,3,0
22,80,17,17,52,57,55,11,0
18,70,13,14,36,38,35,4,0
31,95,25,25,86,93,94,5,0
25,83,21,20,57,62,64,20,0
21,76,16,16,44,49,47,6,0
20,77,16,16,43,48,49,7,0
21,79,17,16,49,55,53,9,0
24,84,19,19,59,65,65,9,0
19,75,15,15,39,44,40,11,0
16,41,12,12,8,9,9,10,0
19,71,15,15,38,42,38,9,0
19,72,15,15,38,41,40,11,0
22,81,17,17,49,55,55,1,0
22,82,19,19,50,55,59,13,0
21,80,17,17,48,54,53,13,0
20,70,14,14,48,53,41,14,0
21,78,16,16,50,55,52,8,0
23,81,18,18,51,57,56,10,0
22,80,17,17,48,54,54,12,0
20,73,15,15,48,50,44,18,0
23,82,19,18,55,61,59,7,0
19,64,15,15,35,35,32,3,0
25,86,20,19,57,64,65,3,0
22,81,18,18,50,56,57,8,0
22,80,17,17,48,53,55,3,0
22,81,18,17,49,55,55,5,0
23,82,18,18,53,58,58,8,0
24,83,19,18,53,58,59,12,0
25,84,20,19,58,65,63,8,0
23,82,18,18,53,59,58,11,0
19,76,15,15,42,48,48,7,0
25,86,20,20,58,64,66,5,0
26,84,20,20,55,61,61,8,0
22,82,18,18,51,56,57,7,0
22,81,18,18,51,57,56,9,0
27,88,23,23,65,68,69,3,0
29,85,23,23,62,69,64,14,0
24,84,19,18,55,61,62,7,0
22,81,18,18,55,60,56,10,0
26,85,21,21,60,65,63,8,0
22,81,17,17,52,56,55,9,0
25,86,20,20,60,65,67,4,0
27,87,21,21,60,67,68,6,0
18,74,14,14,46,50,45,19,0
24,83,19,18,56,61,60,10,0
29,86,24,24,61,66,68,9,0
23,82,18,17,53,60,57,5,0
23,82,17,17,54,60,58,8,0
27,87,21,21,63,69,69,6,0
22,81,18,18,54,59,57,11,0
33,91,26,26,69,76,77,7,0
21,80,17,17,47,53,54,17,0
22,80,17,17,52,58,55,11,0
18,76,14,14,42,48,48,15,0
22,81,17,17,54,61,57,15,0
20,78,16,16,49,52,51,18,0
24,83,19,19,56,63,59,18,0
20,74,16,16,50,47,45,3,0
22,81,17,17,52,57,55,9,0
21,80,17,17,49,54,54,5,0
21,80,17,17,50,55,54,8,0
24,82,19,19,53,58,59,11,0
20,78,16,16,46,51,52,12,0
23,81,18,18,50,55,56,18,0
23,83,18,18,54,60,60,3,0
17,64,13,13,33,35,32,11,1
22,81,18,18,51,56,57,9,0
18,71,14,14,35,39,40,6,0
21,82,18,18,53,57,58,5,0
25,85,20,19,58,63,62,10,0
25,85,20,20,59,65,63,5,0
26,86,20,20,64,69,65,3,0
22,81,17,17,53,59,55,5,0
23,82,18,18,53,58,57,11,0
22,80,17,17,52,57,54,11,0
24,82,19,19,53,58,58,16,0
21,79,17,16,47,52,53,1,0
22,80,17,17,53,57,54,9,0
24,83,19,19,53,59,59,2,0
20,78,16,16,45,49,50,12,0
24,84,19,19,55,60,61,4,0
25,83,21,20,58,62,61,12,0
21,80,17,17,47,53,55,13,0
21,80,17,17,49,54,54,7,0
21,80,17,17,48,53,55,5,0
26,86,21,21,61,67,65,3,0
25,83,20,20,59,63,61,12,0
23,82,19,18,56,62,57,11,0
28,85,23,22,59,64,66,9,0
43,89,36,35,63,69,70,3,0
22,81,17,17,50,55,56,3,0
24,84,20,20,54,58,61,2,0
23,81,18,18,50,55,56,13,0
23,81,18,18,49,55,56,5,0
23,83,18,18,53,59,60,5,0
24,84,19,19,57,62,62,8,0
32,87,26,26,60,66,68,10,0
25,85,20,20,57,63,64,4,0
22,84,19,19,51,57,62,4,0
21,77,16,16,44,49,49,1,0
22,81,18,17,55,59,56,9,0
22,82,17,17,55,61,57,4,0
22,82,18,18,52,58,59,3,0
22,82,18,17,52,58,58,8,0
21,79,16,16,48,53,53,1,0
22,81,17,17,51,55,57,3,0
21,80,17,17,49,55,55,21,0
20,78,16,16,48,51,51,18,0
23,83,19,18,56,60,59,4,0
30,86,25,24,64,69,68,3,0
34,88,28,27,64,71,73,4,0
23,82,18,18,53,59,58,3,0
24,83,19,19,54,60,59,2,0
32,83,27,26,55,59,61,18,0
24,83,19,19,59,64,61,8,0
23,82,18,18,58,62,58,10,0
21,80,17,17,48,53,54,12,0
19,74,13,13,45,51,43,16,0
23,83,18,18,55,61,60,4,0
21,79,17,17,46,52,53,5,0
27,84,22,21,56,62,64,14,0
22,81,17,17,50,55,56,8,0
23,83,18,18,55,62,60,9,0
23,81,18,18,54,60,58,18,0
22,81,18,18,49,55,56,11,0
20,77,15,15,43,49,49,19,0
22,81,18,17,50,56,56,17,0
32,88,26,25,66,74,75,2,0
23,82,18,18,54,59,59,11,0
26,83,21,20,57,63,61,12,0
23,82,18,18,53,59,58,3,0
23,83,18,18,57,62,60,4,0
25,84,21,20,58,62,62,14,0
28,85,23,23,61,66,68,18,0
32,90,25,25,68,75,76,7,0
23,84,18,18,56,62,62,2,0
24,84,19,19,54,60,61,6,0
24,83,19,19,57,61,60,5,0
29,88,23,23,63,70,71,7,0
30,89,24,24,66,72,72,5,0
23,81,18,18,49,55,57,13,0
24,82,19,19,53,59,61,19,0
24,84,20,19,54,59,60,8,0
24,83,20,19,60,64,62,8,0
24,86,19,18,63,72,66,0,0
21,79,17,17,52,56,53,8,0
24,86,19,19,64,69,67,7,0
29,88,23,22,65,72,73,2,0
25,83,21,21,56,59,60,16,0
33,100,25,37,68,74,95,2,0
23,83,18,18,55,61,62,7,0
25,85,20,19,60,67,66,8,0
23,82,18,18,53,58,58,11,0
22,80,17,17,50,56,56,11,0
21,80,17,17,48,53,55,14,0
21,79,16,16,51,55,52,13,0
22,81,18,17,52,57,57,7,0
16,59,12,12,16,18,17,22,0
19,75,16,15,42,46,47,1,0
23,82,18,18,51,56,57,12,0
20,78,15,15,46,51,48,10,0
23,82,18,18,55,61,58,11,0
21,83,17,17,57,64,59,0,0
23,81,18,18,51,56,57,12,0
23,81,18,18,51,56,57,14,0
22,80,17,17,53,57,55,17,0
24,83,19,19,58,64,59,6,0
19,65,15,15,25,27,30,4,0
26,87,20,20,58,65,67,3,0
25,83,21,21,57,61,62,6,0
22,82,18,17,50,55,57,3,0
22,81,17,17,49,54,55,5,0
22,81,18,17,51,56,56,8,0
23,81,17,17,50,56,56,12,0
23,82,18,18,54,60,58,11,0
25,84,20,20,57,62,62,9,0
20,76,15,15,43,48,47,6,0
26,87,20,20,59,64,66,5,0
27,85,22,22,57,63,64,8,0
23,84,19,19,55,59,61,7,0
21,79,16,16,49,55,52,5,0
28,89,24,24,67,69,70,2,0
31,85,25,25,63,69,64,14,0
25,84,20,20,56,62,64,9,0
23,82,18,18,56,62,58,9,0
29,86,24,23,65,68,67,4,0
24,83,19,19,58,62,60,9,0
24,84,18,18,54,61,62,4,0
33,91,26,26,68,75,76,6,0
19,76,15,15,48,52,48,21,0
21,79,17,17,49,53,53,8,0
28,86,23,22,58,64,65,7,0
24,84,20,19,59,65,63,5,0
23,84,18,18,55,61,61,5,0
26,85,21,20,59,66,66,6,0
23,83,18,18,57,62,60,4,0
31,88,25,25,63,70,72,6,0
18,76,15,14,41,46,47,19,0
21,80,17,17,50,56,54,7,0
22,80,17,17,48,54,54,13,0
23,82,18,18,54,60,57,13,0
21,79,17,17,51,55,54,18,0
24,83,20,19,57,63,60,10,0
22,81,17,17,54,59,56,3,0
23,83,19,18,56,62,61,9,0
21,79,17,16,48,53,53,5,0
20,78,16,16,47,51,51,9,0
23,81,18,18,50,55,56,12,0
23,81,18,18,51,55,57,18,0
23,81,19,18,50,55,57,15,0
20,77,16,16,44,49,49,6,0
20,78,16,15,48,54,50,16,1
13,48,9,10,10,11,12,19,1
22,80,18,18,48,52,54,15,1
16,42,12,12,24,21,11,7,1
20,76,17,17,51,50,48,17,1
22,80,17,17,50,55,55,8,0
19,72,14,14,39,44,42,7,0
22,81,17,18,53,57,55,5,0
23,83,18,18,55,60,59,7,0
26,86,21,21,60,65,64,5,0
25,85,20,20,62,66,63,3,0
22,83,18,18,56,61,59,4,0
22,82,19,18,52,57,58,9,0
19,77,15,15,49,53,50,13,0
24,81,19,19,52,57,57,16,0
20,75,16,15,42,46,47,2,0
22,80,17,17,53,57,55,8,0
25,82,19,20,51,57,57,6,0
17,70,14,14,36,38,40,12,0
24,83,19,20,53,57,59,4,0
19,76,14,14,46,50,48,15,0
19,71,15,15,36,41,42,9,0
22,80,17,17,49,54,55,10,0
22,82,18,18,50,55,59,4,0
26,86,21,20,61,67,65,3,0
23,81,18,18,55,59,56,13,0
23,81,18,18,56,60,56,12,0
28,84,24,23,57,60,63,6,0
52,90,42,42,66,72,74,3,0
22,82,18,18,53,58,59,3,0
24,83,19,19,54,58,60,1,0
22,81,18,18,50,55,56,11,0
24,82,19,19,52,57,58,5,0
26,86,21,20,60,65,66,5,0
22,81,17,17,52,57,55,9,0
34,88,27,27,61,67,69,10,0
26,86,20,20,57,64,64,4,0
23,83,18,18,52,58,60,4,0
21,79,16,16,47,52,53,2,0
20,78,16,16,52,56,51,10,0
21,80,17,17,53,59,55,2,0
23,82,18,18,54,59,60,1,0
22,82,17,17,55,60,58,9,0
24,85,19,19,56,62,63,5,0
19,73,15,15,39,42,42,4,0
22,84,18,18,54,59,61,1,0
23,81,18,18,52,57,57,19,0
19,75,15,15,44,47,47,18,0
23,83,18,18,53,60,59,5,0
29,85,24,24,59,65,64,3,0
34,88,27,27,61,67,69,4,0
24,84,19,19,56,62,62,2,0
20,79,17,16,47,52,52,1,0
22,79,17,17,47,52,53,16,0
23,83,19,19,57,63,59,9,0
22,81,18,18,57,60,56,7,0
21,81,18,17,47,52,55,12,0
21,80,16,16,49,55,54,13,0
23,84,18,18,54,61,61,4,0
23,83,18,18,53,59,60,3,0
28,84,22,22,56,62,63,7,0
22,82,18,18,52,57,58,10,0
23,82,18,18,54,60,59,6,0
23,82,18,18,54,60,58,12,0
21,79,16,16,45,50,52,8,0
24,84,19,18,56,62,61,14,0
22,80,17,17,49,54,55,18,0
29,87,23,23,60,65,67,2,0
27,86,21,21,60,65,65,10,0
21,79,17,17,52,57,53,14,0
24,84,19,19,57,61,62,6,0
22,81,17,17,54,59,56,5,0
28,82,23,23,55,60,60,17,0
33,86,27,26,63,70,70,3,0
24,86,19,19,58,65,65,1,0
21,80,17,17,47,53,54,2,0
27,85,21,20,57,66,65,4,0
32,88,26,25,65,71,72,5,0
26,83,19,19,57,63,59,6,0
23,83,19,19,52,57,59,8,0
28,87,24,24,62,64,66,12,0
19,74,15,15,42,46,44,9,0
24,84,20,20,60,64,62,5,0
24,85,19,18,61,68,64,1,0
22,81,17,17,55,59,56,6,0
22,81,17,17,54,58,56,3,0
26,86,20,20,59,65,65,1,0
21,80,17,17,48,53,54,12,0
28,98,50,50,57,59,98,2,0
22,81,17,17,49,55,56,8,0
27,88,22,21,64,71,71,6,0
24,84,21,19,56,63,64,4,0
35,87,30,29,67,72,73,16,0
34,86,28,22,62,69,71,13,0
24,84,19,19,60,65,63,17,0
22,81,17,17,52,57,56,6,0
25,86,22,20,65,71,69,7,0
23,83,19,18,55,62,63,7,0
23,80,19,19,50,54,55,24,0
25,84,20,20,58,62,62,13,0
24,84,20,19,60,64,63,10,0
13,61,0,13,21,24,18,28,0
27,88,21,21,63,71,71,3,0
20,78,16,16,44,49,50,1,0
23,81,19,19,51,56,57,12,0
21,79,16,16,48,53,52,2,0
23,82,18,18,56,60,58,9,0
22,83,17,17,56,62,60,0,0
24,83,19,19,53,59,59,11,0
22,80,18,17,49,54,55,11,0
23,82,18,18,53,58,59,16,0
23,82,19,19,58,63,58,8,0
21,74,15,15,44,49,38,3,0
26,87,20,20,58,65,67,4,0
29,84,24,24,59,63,64,12,0
22,82,18,18,50,55,57,4,0
23,82,18,18,51,56,57,5,0
21,81,17,17,50,54,55,6,0
24,84,19,19,55,60,61,6,0
24,82,19,19,55,61,59,13,0
26,85,22,21,59,63,64,9,0
21,80,17,16,47,53,54,1,0
25,85,20,20,57,62,63,5,0
27,83,22,22,55,61,61,11,0
23,82,18,18,52,56,58,6,0
22,81,17,17,50,56,55,3,0
27,84,22,22,60,63,63,11,0
32,84,25,25,63,69,63,15,0
26,86,22,21,59,64,66,3,0
23,82,18,18,58,62,57,9,0
28,85,23,23,59,65,63,5,0
26,84,22,21,59,63,63,6,0
35,91,28,28,68,75,76,5,0
21,79,17,16,52,56,54,15,0
21,80,17,17,50,54,55,9,0
27,85,22,22,56,62,63,8,0
25,85,20,20,59,65,63,4,0
22,82,18,18,52,58,58,4,0
25,84,20,19,55,62,62,3,0
23,82,18,18,56,61,58,2,0
32,88,26,26,62,69,70,4,0
22,81,18,17,49,54,56,13,0
21,78,16,16,50,54,51,7,0
21,79,16,16,47,53,53,9,0
23,81,18,18,54,59,57,14,0
22,80,17,17,51,56,55,17,0
25,83,20,19,56,62,60,12,0
22,82,18,17,55,60,59,3,0
22,81,17,17,52,57,56,7,0
21,79,17,17,49,54,53,5,0
21,80,17,17,49,53,54,7,0
23,82,18,18,51,56,57,9,0
18,76,14,14,41,47,48,21,0
18,76,14,14,41,47,48,18,0
22,81,17,17,51,56,56,3,0
15,52,9,9,25,29,19,12,1
20,77,16,15,46,50,50,6,0
20,75,15,15,40,45,46,6,0
20,76,15,15,51,55,48,2,0
22,81,18,17,52,56,56,12,0
24,82,18,18,57,62,57,4,0
25,85,20,20,62,66,63,3,0
22,82,18,18,55,59,58,3,0
22,80,17,17,52,57,54,4,0
19,76,15,15,47,51,48,14,0
22,80,17,17,49,54,54,15,0
21,59,13,13,48,51,27,1,0
22,80,17,17,54,58,55,7,0
23,81,18,18,50,55,55,4,0
18,68,14,14,35,39,37,14,0
21,79,17,17,48,52,53,4,0
14,69,11,10,38,41,37,22,0
20,74,15,15,42,46,44,11,0
20,78,15,15,45,51,50,14,0
22,80,17,17,50,55,54,2,0
24,84,19,19,59,63,61,2,0
21,79,17,16,51,56,53,13,0
21,79,17,17,55,58,53,12,0
26,83,22,22,54,58,60,5,0
38,85,31,31,58,63,63,4,0
22,80,17,17,49,54,54,4,0
23,81,18,17,49,56,57,5,0
21,80,17,17,49,54,54,12,0
21,79,17,17,48,52,53,2,0
23,81,19,18,51,56,57,2,0
21,78,16,16,49,53,51,6,0
27,83,21,21,53,59,60,8,0
23,82,18,18,52,58,58,4,0
22,80,17,17,49,54,55,3,0
21,80,17,17,50,55,54,3,0
19,75,15,15,49,53,46,10,0
22,80,17,17,55,59,55,2,0
22,81,17,17,49,53,55,1,0
22,81,17,17,54,59,56,9,0
22,82,18,17,51,56,57,5,0
20,74,15,15,38,44,44,3,0
20,71,16,16,36,39,37,2,0
23,83,18,18,59,63,60,2,0
21,79,16,16,50,55,54,20,0
16,72,12,12,40,44,42,22,0
21,80,16,16,48,54,54,1,0
26,83,21,20,55,60,59,2,0
31,86,25,25,57,63,65,5,0
21,79,17,16,49,54,53,1,0
22,82,18,17,51,57,58,6,0
18,74,15,15,41,45,45,3,0
10,72,7,7,38,43,43,16,0
23,83,19,18,59,62,59,7,0
21,80,17,17,56,59,55,6,0
19,76,15,15,43,48,48,19,0
22,82,17,17,52,58,58,5,0
22,81,18,18,49,54,55,5,0
22,82,18,18,51,56,57,9,0
21,79,17,17,51,55,53,5,0
22,80,17,17,53,58,55,9,0
21,79,17,17,46,51,53,3,0
21,80,17,17,49,54,54,12,0
18,72,13,13,41,45,43,21,0
27,86,21,21,56,63,64,4,0
27,85,21,21,59,64,63,9,0
15,74,12,11,49,51,45,18,0
23,82,18,18,52,57,58,12,0
21,79,17,16,51,56,53,2,0
34,83,28,28,56,60,61,17,0
29,85,23,23,56,62,62,3,0
24,86,19,19,59,65,65,2,0
20,75,15,15,40,45,46,2,0
23,82,19,19,54,58,57,3,0
27,84,22,21,56,61,61,4,0
22,81,17,17,50,55,55,3,0
23,82,18,18,51,56,58,4,0
23,82,18,18,54,57,57,5,0
21,80,17,17,51,56,54,4,0
23,82,18,18,54,59,57,3,0
23,83,18,18,60,65,61,3,0
21,80,17,17,54,58,55,8,0
16,63,12,12,34,37,32,2,0
21,80,16,16,49,55,53,1,0
19,75,15,15,41,46,47,8,0
34,86,28,28,57,63,64,3,0
24,84,19,19,54,60,61,5,0
26,86,20,20,61,66,66,6,0
41,90,33,33,67,72,72,11,0
27,83,21,21,54,60,60,13,0
22,80,17,17,50,55,54,17,0
23,82,18,18,54,59,57,8,0
25,87,21,20,65,69,66,4,0
26,85,21,21,60,66,67,7,0
18,78,13,13,41,47,48,26,0
23,81,19,18,51,55,56,19,0
23,81,18,18,53,58,57,13,0
18,74,13,14,30,38,39,13,0
21,80,17,17,52,57,54,8,0
22,82,16,16,52,62,57,23,0
19,73,14,14,35,40,39,13,0
26,86,21,21,62,67,67,4,0
23,83,18,18,53,59,60,2,0
24,83,19,19,53,59,60,6,0
19,74,15,15,40,44,45,12,0
22,82,17,17,53,58,57,10,0
24,84,19,19,55,60,62,9,0
19,66,14,15,34,37,34,4,0
19,73,15,15,40,44,44,2,0
22,80,17,17,49,54,55,13,0
20,75,16,16,44,49,46,3,0
20,77,16,16,49,52,50,12,0
22,83,18,18,55,60,61,0,0
19,76,15,15,43,48,49,10,0
21,79,16,16,47,53,53,9,0
21,81,17,17,50,55,56,13,0
21,78,16,16,53,57,51,8,0
20,74,16,15,41,45,45,2,0
25,86,20,20,57,63,64,3,0
28,82,23,23,54,59,59,17,0
22,81,17,17,49,54,56,3,0
21,79,16,16,48,52,52,3,0
21,79,17,16,48,53,53,3,0
22,81,17,17,51,55,55,4,0
22,79,17,17,53,57,53,14,0
25,82,21,20,54,58,60,10,0
18,71,15,14,37,40,40,1,0
23,84,19,18,53,59,60,4,0
24,82,19,19,52,57,57,10,0
22,81,17,17,49,54,55,5,0
21,79,17,16,48,52,53,2,0
24,81,18,18,52,57,56,10,0
32,84,24,24,63,68,62,14,0
22,81,18,17,49,54,56,2,0
22,80,17,17,56,59,55,10,0
27,84,22,22,60,64,61,6,0
25,83,20,20,56,60,59,4,0
30,87,25,25,61,66,67,6,0
20,77,16,16,48,52,49,16,0
21,78,16,16,46,51,51,4,0
26,83,20,20,55,60,59,7,0
23,82,18,18,56,61,57,4,0
21,79,17,17,49,53,53,5,0
23,81,18,18,52,58,57,5,0
22,81,17,17,56,60,57,1,0
27,83,23,22,55,60,61,4,0
19,77,15,15,43,48,49,16,0
22,81,17,17,54,59,56,6,0
20,77,15,15,45,50,50,5,0
21,79,17,17,53,56,53,14,0
19,76,15,15,46,50,49,17,0
23,81,18,18,56,60,56,14,0
21,79,17,16,49,53,53,2,0
21,78,16,16,49,53,50,8,0
19,75,15,15,43,47,47,3,0
21,77,16,16,48,53,50,5,0
22,81,17,17,50,55,55,7,0
21,80,17,17,48,53,53,11,0
15,63,9,12,25,28,28,26,0
20,77,16,16,46,51,49,5,0
19,74,15,15,50,53,46,23,1
21,79,17,17,48,53,53,6,0
21,79,17,16,46,51,53,5,0
21,80,17,17,54,57,53,4,0
22,81,18,17,51,56,56,13,0
23,83,19,19,56,60,59,5,0
24,84,19,19,60,65,61,3,0
23,83,18,18,55,60,59,3,0
21,80,17,17,52,56,54,5,0
19,75,15,15,48,52,46,14,0
23,81,18,18,51,55,55,15,0
22,80,17,17,49,54,55,0,0
22,80,17,17,54,57,55,6,0
25,82,20,20,53,58,58,7,0
17,70,13,13,33,36,38,11,0
21,80,17,17,48,52,54,7,0
15,74,10,12,44,47,44,21,0
22,81,17,17,49,55,56,16,0
20,78,16,16,45,50,50,8,0
22,80,17,17,49,54,55,3,0
24,83,19,19,57,61,60,4,0
20,78,16,16,54,57,51,13,0
30,86,27,26,59,62,65,3,0
53,88,43,42,62,69,70,5,0
22,81,18,17,51,55,56,4,0
22,81,18,18,50,54,55,5,0
21,79,17,17,49,53,53,12,0
21,80,17,17,48,53,54,4,0
23,81,19,18,50,55,56,2,0
20,77,16,16,47,51,49,5,0
28,83,22,22,54,59,60,10,0
23,82,18,18,53,58,58,5,0
24,84,19,19,55,60,61,4,0
22,81,17,17,51,57,57,2,0
20,77,16,16,51,54,49,10,0
21,80,17,17,53,57,54,4,0
22,82,18,18,52,57,58,1,0
22,81,17,17,51,56,56,11,0
22,81,17,17,49,54,55,3,0
20,77,16,16,44,50,50,4,0
21,80,17,16,48,53,54,5,0
23,84,19,18,54,59,62,2,0
19,78,15,16,47,52,51,20,0
17,73,14,14,39,43,44,26,0
20,77,16,16,45,49,49,3,0
25,82,20,20,55,59,58,4,0
27,83,22,21,53,58,60,4,0
19,74,15,15,44,48,45,1,0
22,82,18,18,52,57,58,7,0
21,80,17,17,48,53,54,4,0
30,84,25,24,56,61,62,15,0
22,81,17,17,55,59,55,6,0
21,80,17,17,54,57,54,5,0
20,78,16,16,46,50,51,21,0
23,83,18,18,55,60,59,5,0
23,81,18,18,49,54,56,9,0
21,80,17,17,48,53,53,8,0
20,78,16,16,49,53,50,7,0
21,79,17,16,52,56,53,8,0
21,79,16,16,45,51,53,3,0
20,78,16,16,47,52,51,15,0
16,70,11,13,35,39,39,21,0
24,82,19,19,52,57,58,4,0
24,82,19,19,55,59,58,9,0
18,76,14,14,53,56,48,17,0
25,84,20,20,57,60,61,8,0
20,75,15,15,45,49,47,0,0
21,79,17,17,48,52,53,15,0
26,83,21,21,53,59,59,3,0
24,83,18,18,57,63,60,2,0
20,75,15,15,40,45,46,3,0
